"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Capital Asset Advisory Services LLC", 13337, 514, "12/31/2016"
"Two Sigma Securities LLC", 13280, 511, "12/31/2016"
"HBK Sorce Advisory LLC", 13105, 505, "12/31/2016"
"Sheaff Brock Investment Advisors LLC", 13113, 505, "12/31/2016"
"Sandy Spring Bank", 13042, 502, "12/31/2016"
"Capital One National Association", 13005, 501, "12/31/2016"
"Gabelli Funds LLC", 13000, 501, "12/31/2016"
"Reynders McVeigh Capital Management LLC", 13009, 501, "12/31/2016"
"BlueCrest Capital Management Ltd", 13000, 501, "12/31/2016"
"Greytown Advisors Inc.", 12861, 496, "12/31/2016"
"Boston Common Asset Management LLC", 12865, 495, "12/31/2016"
"Elkfork Partners LLC", 12824, 494, "12/31/2016"
"GAM Holding AG", 12587, 485, "12/31/2016"
"Glacier Peak Capital LLC", 12500, 481, "12/31/2016"
"Liberty Mutual Group Asset Management Inc.", 12439, 479, "12/31/2016"
"Wesbanco Bank Inc.", 12415, 478, "12/31/2016"
"First National Trust Co.", 12350, 476, "12/31/2016"
"United Bank", 12296, 474, "12/31/2016"
"High Point Bank & Trust Co.", 12282, 473, "12/31/2016"
"Arbor Wealth Management LLC", 11746, 473, "12/31/2016"
"Capital Investment Advisors LLC", 12054, 464, "12/31/2016"
"Stratos Wealth Partners LTD.", 11887, 458, "12/31/2016"
"New England Asset Management Inc.", 11849, 456, "12/31/2016"
"Private Bank & Trust Co.", 11817, 456, "12/31/2016"
"Financial Architects Inc", 11843, 456, "12/31/2016"
"Rathbone Brothers plc", 11826, 455, "12/31/2016"
"Sawtooth Solutions LLC", 11662, 449, "12/31/2016"
"National Planning Corp", 11336, 446, "12/31/2016"
"Boston Financial Mangement LLC", 11555, 445, "12/31/2016"
"King Wealth Management Group LLC", 11436, 440, "12/31/2016"
